iter	Logloss
0	0.6460928969
1	0.6055795346
2	0.5764840167
3	0.5404054864
4	0.5070356613
5	0.4906755162
6	0.4627474644
7	0.4400911329
8	0.4192055431
9	0.4037350098
10	0.3865487378
11	0.3720449774
12	0.3557270559
13	0.3434924262
14	0.3306012742
15	0.3192412352
16	0.3106561889
17	0.3030220349
18	0.293911528
19	0.286832111
20	0.2802382851
21	0.2739726268
22	0.2679413287
23	0.2625457772
24	0.2598705145
25	0.2538301364
26	0.2510703143
27	0.249402703
28	0.2452832596
29	0.2410024134
30	0.2381591902
31	0.2357984005
32	0.2333534811
33	0.2309925233
34	0.226950764
35	0.224916853
36	0.2230138727
37	0.2205083081
38	0.2184397213
39	0.2169863672
40	0.2154538157
41	0.2134585038
42	0.2121220495
43	0.2110175265
44	0.209355408
45	0.2087529172
46	0.2064565093
47	0.2049239204
48	0.203085789
49	0.2019384258
50	0.2004370936
51	0.1994301895
52	0.1980208153
53	0.1975431085
54	0.197142899
55	0.1967460524
56	0.1958742641
57	0.1952434311
58	0.1940240635
59	0.1926530642
60	0.1924287743
61	0.1916843109
62	0.1914861772
63	0.1913353864
64	0.1910924321
65	0.1903114807
66	0.1899122427
67	0.1880929812
68	0.1879154736
69	0.1875469131
70	0.1871764097
71	0.1870421346
72	0.1854693211
73	0.1848088007
74	0.1840528099
75	0.1835114127
76	0.1830581806
77	0.1828709205
