iter	Passed	Remaining
0	1241	619746
1	2606	649126
2	3662	606705
3	4877	604753
4	5965	590558
5	6963	573347
6	8095	570127
7	9140	562123
8	10219	557538
9	11374	557370
10	12669	563206
11	13841	562882
12	14923	559043
13	15940	553373
14	16930	547405
15	17941	542729
16	18959	538660
17	20000	535581
18	21224	537315
19	22419	538067
20	23661	539714
21	24774	538280
22	25883	536796
23	26966	534831
24	28018	532352
25	29103	530586
26	30163	528424
27	31255	526873
28	32314	524826
29	33432	523770
30	34500	521957
31	35580	520369
32	36672	518965
33	37712	516887
34	38798	515462
35	39849	513617
36	40939	512301
37	42042	511151
38	43078	509214
39	44152	507748
40	45232	506378
41	46351	505451
42	47410	503873
43	48506	502699
44	49542	500934
45	50641	499814
46	51715	498445
47	52773	496946
48	53873	495854
49	54934	494407
50	56008	493095
51	57115	492067
52	58153	490465
53	59224	489152
54	60291	487809
55	61330	486264
56	62278	484027
57	63268	482149
58	64310	480694
59	65365	479345
60	66349	477499
61	67349	475792
62	68343	474065
63	69330	472317
64	70332	470684
65	71339	469110
66	72328	467436
67	73356	466032
68	74576	465834
69	75675	464864
70	76966	465049
71	77911	463142
72	78908	461562
73	79901	459973
74	80958	458766
75	81972	457318
76	82962	455753
77	84010	454516
